,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节,题材类型,关键字,评分
10,13613,女大生世晶:无法自拔,朴敏;金Zetta,/Public/Uploads/img/20191120/5dd5289f73a18.jpg,朋友的馬子看上我了!真宇是一天不打三四份工就活不下去的貧窮大學生，有一天，麻吉燦英帶著她的超誘人女友出現在他的眼前!,已完结,最終話-不該說的話,其他,"校园,女大学生,正妹,好友,朋友的女友,超诱人,大尺度",9.89
11,13716,恋人模式,Austro ; Idu,/bookimages/1495/da00fb7e-c42e-4607-be98-7b5bf75e2da3.jpg,在色情按摩店打工的明彦和店里的小姐，晓彤产生了暧昧情愫。但这份恋情似乎没有表面上顺利…,已完结,最終話-生命中的過客,其他,"色情按摩,巨乳,性感,勾引,正妹",9.84
12,13690,新媳妇,湖水; 矮冬瓜;amp;貞煥,/bookimages/1492/9b037e77-ae21-4e36-a0e2-99ff3ec2fb94.jpg,「爸…請您抱我」 面對媳婦赤裸的大膽挑逗，我跟媳婦…終究還是跨越了禁忌的底線…,已完结,最終話-天譴,其他,"巨乳,媳妇,公公,不伦,同居,勾引",9.86
13,13507,隐秘的诱惑,陶冶,/bookimages/1486/ef29501d-51ec-4d69-88cf-82e286107e13.jpg,精力滿滿的游泳教練金大根，偶然間在匿名聊天軟體上遇到了自己的學生和英，而和英發現小鮮肉就是自己的游泳教練之後，就展開了秘密的誘惑…,已完结,最終話-似曾相識的女人,其他,"肉欲,大学生,泳衣,性感,勾引",9.89
14,13380,人夫的悸动,TAIRA ; 安藝,/bookimages/1454/a2e12e1a-9ed9-4c8b-9e10-695ac5a11c29.jpg,兩年前的秀雅，只是妻子班上的清純女學生；兩年後重新相遇，她已經長成充滿魅力的小女人。這一次賢宇還能克制得住自己的心嗎?,已完结,最終話-困境中綻放的花朵,其他,"戏剧,不伦,有妇之夫,背叛,学生,巨乳,诱惑",9.84
15,13452,共享情人,敏英;红色面纸,/bookimages/1394/f6e531a3-382e-455d-a678-033f593f0a16.jpg,一個是性慾旺盛又火辣的女友，一個是清純可愛的女友閨密，與這兩個女人同居的正泰，該怎麼管好自己的小頭呢...,已完结,最終話-各自選擇的結果,其他,"性欲旺盛,火辣,闺蜜,同居,多人,双飞,戏剧",9.84
16,13506,初恋陷阱,刷妮,/Public/Uploads/img/20200421/5e9dd0b7563a8.jpg,难以忘怀的初恋竟然又出现在我眼前？不对...她才20岁，我可不能掉进她的陷阱...,已完结,後記,其他,"浪漫,强迫,少女,初恋,难以忘怀,陷阱",9.73
17,13366,性溢房屋,喜乐&amp;小象果,/Public/Uploads/img/20191230/5e090b487b30c.jpg,歡迎來到性福成交率百分百的「性溢房屋」!,已完结,最終話-你不是說要保護我們嗎…?,其他,"戏剧,有夫之妇,姐妹,性福成交率,房产中介",9.85
18,13560,小裤裤精灵,老二 &amp;amp;amp; 野劍,/bookimages/1190/9ab0443a-ec68-4127-969e-5cb0fbe42c34.jpg,養一隻小褲褲精靈吧！有了小褲褲精靈，戀愛高手就是你！,已完结,最終話,其他,"小裤裤精灵,超能力,恋爱高手,多人,萝莉,性感",9.68
19,13332,低速男高速女,TAIRA,/bookimages/1383/1c129623-7c7c-450f-a48b-b7e5788339a8.jpg,一輩子慢吞吞的龜速男子和兔子般過著快速人生的女子間的Love story♥,已完结,最終話,其他,"戏剧,浪漫,慢吞吞,快速人生,大尺度,性爱",9.76
20,13607,甜蜜假期,Crike; 伊俄,/bookimages/1476/f213a9da-63f5-41c1-850a-160cd1f8b1a1.jpg,振行被初戀背叛後來到濟州島治療情傷，卻在民宿遇到了預想不到的姻緣，進而連肉體也獲得解放…,已完结,最終話-遵循本能,其他,"浪漫,巨乳,背叛,旅行,正妹,性感",9.83
21,13614,夺爱的滋味,Serious,/bookimages/1231/950_1544070271.7396.jpg,世界上最好吃的東西就是「搶別人的東西來吃」！高富帥「強豪」的變態興趣，狩獵開始~,已完结,最終話-舊生活完結及新的開始,其他,"调教,巨乳,大尺度,背叛,正妹,有夫之妇,不伦",9.85
22,13550,三姐妹,愛摸,/Public/Uploads/img/20191124/5dda4e20f3de6.jpg,記憶中的美好初戀，以及和她相似的三個女兒。究竟讓他陷入混亂深淵的，是他的初戀，還是三姐妹呢?,已完结,最終話,其他,"戏剧,大尺度,姐妹,老少配,援交,初恋,巨乳",9.8
23,13512,窥视,鄭文根,/bookimages/1232/833_1533017751.1848.jpg,沒想到...偶然在牆上發現的一個小縫隙，竟為他的人生帶來如此大的變化！,已完结,最終話-妳是什麼滋味呢?,其他,"戏剧,正妹,巨乳,打工仔,初恋,人生",9.75
24,13620,流浪猫,色色思想,/bookimages/1287/5933788f-3b29-4e26-8a6d-e7cae3f66aea.jpg,和我論及婚嫁的女友紫兒是個完美的女人，她是所有男人夢寐以求的對象，但我卻無法信任她。這時，徬徨的我身邊出現了一位同樣名為紫兒的女子，她跟我的女友有著相同的名字......,已完结,最終話-你是天真還是傻?,其他,"戏剧,正妹,梦寐以求,完美女人,初恋",9.87
25,13702,意外的邂逅（真人漫画）,金舒靜,/bookimages/1463/d6fa7209-579d-4136-b605-1c89e7652f91.jpg,原本只是想找一夜情的對象，結果卻墜入愛河？！,已完结,最終話-交往第一天,其他,"黑丝袜,一夜情,巨乳,正妹,长腿,性感",9.83
26,13609,异乡人:意外桃花源,FACON,/bookimages/1455/7a0b4bd5-539e-41ba-abcb-a665016a267d.jpg,原以為被流放到鄉下別墅後，花花公子就要過上禁慾生活。 想不到卻讓他遇上了管家阿姨跟她的女兒…,已完结,最終話-淫蕩的母女,其他,"花花公子,别墅,乡下,管家,女儿,巨乳,性感",9.87
27,13548,混混痞痞 派遣員,夜光弹,/bookimages/1423/87300f3c-a639-4485-b45c-d42e699ddf2a.jpg,"辦公室情侶之間,不法又刺激的淫靡小故事!",已完结,最終話,其他,"办公室,情侣,刺激,巨乳,性感,勾引,淫荡",9.76
28,13679,曖昧女剧场,Hen&amp;amp;amp;;SSum,/Public/Uploads/img/20191113/5dcc285ca245c.jpg,任何人都曾有想像過那不可思議的妄想! 那些曖昧中女人們的全部!,已完结,最終話,其他,"不可思议,妄想,暧昧,大尺度,戏剧",9.8
29,13666,鸭王,Shampoo ; 洋蔥,/bookimages/1175/9761f165-1a6a-4311-8381-eebf2227959e.jpg,為了還債而做的選擇...竟讓我成為了夜晚的王子!,已完结,最終話,其他,"还债,身体,夜晚,大尺度,应召,牛郎,性感",9.78
30,13667,青涩男孩初体验,AA MEDIA,/bookimages/1434/608308bd-6333-4f04-b2f6-a7f4be4a8692.jpg,男生最難忘的記憶是？不是第一次偷抽菸；不是第一次喝醉；而是手忙腳亂，想勇往直前卻找不到洞的...破處日,已完结,最終話,其他,"处女,破处日,巨乳,性感,诱惑,大尺度",9.84
31,13583,我的M属性学姐,SSAEM,/bookimages/1293/37f31aba-44a3-4715-99c9-ebd1e9b3cbc8.jpg,花花公子劉盛宇意外發現女友的姐姐琇妍不為人知的驚人祕密後，逐漸對她產生了好奇心...,已完结,後記,其他,"戏剧,浪漫校园,秘密,强迫,SM,调教,学姐",9.87
32,13565,老婆回来了,嘍囉 ; 洋蔥,/bookimages/1206/6425579c-dc36-4e07-a364-0ba34ce7dd5b.jpg,老婆她回國了，兩個人住在同一個屋簷下，但問題是...,已完结,最終話,其他,"戏剧,办公室,离婚,同居,不伦,老婆",9.84
33,13460,两个女人,烈火;劉勝裴,/bookimages/918/8cac47be-06ce-4674-a48f-269709adafd1.jpg,不出軌就無法活的妻子，與愛上他的小姨子，夾在這兩個女人之間的他該如何是好呢...?,已完结,最終話,其他,"戲劇,NTR,小姨子,不倫",9.8
34,13616,梦魇,朴敏 ; 鬼怪工坊,/Public/Uploads/img/20200122/5e28045892ca6.jpg,平凡的家庭主婦，墜入悽慘的地獄... 落在高利貸業者手上的她 眼前只剩下一片黑暗...,已完结,最終話-夢魘的終點,其他,"戲劇,肉慾,大尺度,強迫,有夫之婦,債務,SEX",9.81
35,13680,虐妻游戏,CreamMedia,/bookimages/1430/12c6d8fb-9529-461d-9a54-7f80c5d51ff9.jpg,難得來酒店，喝得正開心，老婆卻一直打來煩…沒想到一接起電話，竟然是個陌生男子的聲音：「要是想要你老婆活命，就去跟酒店小姐打砲，然後傳影片給我。」為了救我老婆，要我做什麼都,已完结,最終話-回歸正常生活,其他,"打炮,酒店小姐,SM,虐妻,捆绑,性爱",9.87
36,13681,熟女的滋味,TEAM空心菜,/bookimages/1290/7e29bd3b-f3bf-4fd8-a41a-f485465cfc1b.jpg,我的綽號是「加疼鷹」，專長是光靠前戲就能讓女人高潮。而那些有錢有閒，卻對老公厭倦的熟女們，就是我的美味餐點。,已完结,最終話-最喜歡叔叔了,其他,"调教,戏剧,前戏,熟女们,有钱人,有夫之妇",9.75
37,13638,恋爱宝境,Tamibu&amp;Gelbu,/bookimages/1328/4e9b8293-e9fa-496f-86ff-b3648a8d1249.jpg,這不是別人的故事!是我當主角的驚奇漫畫!戀愛實境!,已完结,最終話,其他,"恋爱实境,惊奇,故事,大尺度,性爱,诱惑",9.75
38,13678,啪啪啪调教所,首领,/bookimages/1266/55667a2b-09aa-44d4-badf-58294d135941.jpg,"失去記憶被關在密室中的我,還有幾位和我落到同樣處境的同伴(?) 一起過著如同囚犯般的生活,在這邊必做的功課就是定期和各式各樣的女人做愛...?!",已完结,後記-第2話,其他,"戏剧,大尺度,后宫,SM,密室囚犯",9.75
39,13513,哥哥的秘书,洪班长,/bookimages/1388/82087ddf-b61f-418a-bd67-fb0601b783ba.jpg,「我要奪走我哥的一切，首先是他的位置，接下來就是妳…」,已完结,最終話-後來的我們,其他,"亲哥哥,办公室,戏剧,秘书,SM,捆绑,NTR",9.88
40,13525,母猪养成计划,郭定鍋;馬樂,/bookimages/1239/0262d4ba-1d18-4179-accc-9a6304db12e9.jpg,因收賄被貶到偏鄉的女檢察官，卻被當地的男子囚禁起來當成母豬圈養。他們的「調教」讓她產生了不同的變化…,已完结,最終話-最後的倖存者,其他,"调教,巨乳,野外,野外露出,监禁,奴隶",9.75
41,13582,无法自拔的口红胶,19泰迪 &amp; SSum,/bookimages/922/b8ed8209-a036-459c-846e-cb256e47bd97.jpg,「只要付一點小錢就能~嗯哼♥」那個網路上非常火紅的口紅膠女，竟然就住在我樓上?!,已完结,最終話,其他,"野外露出,性感,大尺度,口红,同居",9.65
42,13603,激情开麦拉,柳极兆,/bookimages/1279/c0c0fef9-ad88-44b6-9936-1a82637808c9.jpg,一介魯蛇住進明星導演的豪宅，身為屋子裡唯一的雄性動物，一進門就感受到女人們的飢渴難耐...,已完结,最終話 - 激情開麥拉,其他,"卢瑟,明星导演,唯一男人,饥渴难耐,多人",9.75
43,13637,甜美女孩,HURUKKU,/bookimages/1321/1cff1529-c887-482f-87b7-e58f41f03cbd.jpg,雖然我有一個性感的美模女友，但勃起問題一直困擾著我，而讓我重振雄風的竟是一個特別的砲友...,已完结,最終話,其他,"性感,美女模特,阳痿,炮友,巨乳,大尺度",9.77
44,13675,Bodychange,Seize &amp;amp; 死亡节奏,/bookimages/1210/a3d5289b-dd87-4dcf-baba-3dd6f99337e8.jpg,不用開刀，光打針就能改變樣貌?!天啊!那是真的嗎?!,已完结,後記,其他,"死亡,性感,塑形,打针,改变容貌,超能力",9.85
45,13617,销魂之手,FACON,/bookimages/1252/fed643e6-2914-4015-bb23-8ce3a34b0cfe.jpg,真秀是一家小醫院的物理治療師，他的銷魂手感讓每個女人欲罷不能。新來的羅護士也想一嚐他的按摩滋味，於是兩人之間展開了曖昧的攻防戰...,已完结,最终話-承受得了我的男人,其他,"戏剧,浪漫,物理治疗师,按摩,暧昧攻防",9.69
46,13600,学妹别放肆,TAIRA,/bookimages/1244/65c2c887-7ac1-4660-a9d4-c2bb98f39bc7.jpg,周龍在海軍退伍後回到學校上課，某天校慶站哨時，撞見因喝醉闖入男廁的亞瑩...一段校園羅曼史就此展開!,已完结,最終話-我只要有周龍哥就夠了,其他,"浪漫校园,正妹,女大学生,退伍,站岗,大尺度",9.75
47,13369,成人的滋味,peachworks&amp;amp;洪班长,/bookimages/1299/6c65c09b-13f2-49c3-8029-74a9a5a87983.jpg,冷酷無情的俊植碰上開放熱情的嫩妹敏主 究竟敏主能把俊植外表的冰山劈開 引出他心中的慾火嗎?,已完结,最終話,其他,"冷酷无情,开放热情,冰山,欲火,女大学生",9.86
48,13370,SEED The Beginning,徐优锡,/Public/Uploads/img/20191103/5dbdcd9da7b7f.jpg,那漂亮的女人為什麼只剩頭了? 超驚悚的「SEED」回來了！,已完结,最終話,其他,"惊悚,漂亮女人,情色,黑白风,恐怖,大尺度",9.76
49,13373,养女,Austro&amp;Idu,/bookimages/1222/5a614a65-0424-46d6-a414-a61b1214f579.jpeg,「大叔，不要自己來，讓我幫你吧！」摯愛臨終前將女兒托付給我，本想好好照顧她，她卻每晚都來誘惑我...,已完结,最終話-專屬於我的女秘書,其他,"大叔,女儿,养女,少女,同居,戏剧,诱惑",9.84
50,13371,私生:爱到痴狂,cocodor&amp;amp;大蒜,/bookimages/1313/41bde90b-70b6-4110-ab6a-d45ebc2de84b.jpg,不堪粉絲騷擾的男偶像在接受治療時，美女醫師脫起了衣服...這真的是治療嗎？！,已完结,最終話,其他,"调教,演艺圈,正妹,反转,男偶像,私生饭,粉丝",9.85
51,13347,朋友的妻子：有妳在的家,吟詠；經文旗,/bookimages/1194/bf1d1102-3e9c-4d0f-91d7-5f623055fd20.jpg,「欸，這位朋友，可以把我老婆還我嗎?」 讓我一見鍾情的那女子...她居然是我朋友的老婆?,已完结,最終話,其他,"大尺度,有夫之妇,朋友老婆,一见钟情,偷情",9.65
52,13570,爸爸的女人,FACON,/bookimages/1241/1005a649-a8e7-4412-b091-de4561064af6.jpg,我的繼母是個沒有大我很多歲的輕熟女姐姐。某天爸爸突然消失無蹤，從此只剩下我跟這個繼母相依為命…,已完结,最終話-我再也不想壓抑自己了,其他,"戏剧,狗血,同居,不伦,年轻继母,轻熟女",9.75
53,13321,制服的诱惑,DURUFIX,/bookimages/1193/9ad84a9a-ba0a-4ba2-8663-6349f156d76f.jpg,比什麼都還引人遐想的制服，制服的誘惑，你承受的了嗎?,已完结,最終話,其他,,9.3
54,13322,堕落游戏,Claire Team &amp;; 金賀新,/bookimages/1200/34b83e28-c7a5-4f7f-9e3b-04c42aa1eb74.jpg,"讓目中無人的她墮落吧!讓清純的她墮落吧! 究竟,這場遊戲的勝利會屬於誰?",已完结,最終話,其他,,9.1
55,13264,罪与罚,中辍人,/bookimages/1368/ecbc5947-fe78-4cbd-93cf-b2860a90bc94.jpg,折磨母親到生命最後一刻的可怕記憶...對於母親記憶中的主角橋本，秀赫會做出什麼樣的復仇行動呢?,已完结,最終話,其他,"折磨,SM,复仇行动,多P,乱伦,强迫,犯罪",9.78
56,13450,敏希,胎毛,/bookimages/1422/dd189538-9544-4620-860e-86370d1953c9.jpg,她就在那個地方，我的焦點就只會集中在唯一的女神身上，敏希。,已完结,第1季-最終話,其他,"女神,性感,敏希,清纯,大尺度,诱惑",9.82
57,13530,LOVE 爱的导航G,高孙志,/bookimages/1353/0cbe9b93-fe7a-455b-86f9-34017d5b6d2f.jpg,"偶然撿到的導航機,將我導向目的地...到達後,陌生女子開始對我展開誘惑...",已完结,後記,其他,"导航仪,陌生女子,诱惑,处男,桃花,大尺度,巨乳",9.85
58,13537,合理怀疑,Nobeultoon,/bookimages/1381/76ec9fe9-fcb9-4c2f-8a22-c3bd3e7eeb05.jpg,一個利用社群網站和無數女人搞一夜情的男人，卻有一個女人搞得他心急如焚，遲遲釣約不出來...但他們卻在一場面試中相遇了!,已完结,最終話,其他,"一夜情,社群网站,交友,女大学生,正妹,大尺度,诱惑",9.75
59,13336,危险的女人,文硕陪,/bookimages/1411/99d56af6-bb21-4634-b3af-aa2105937042.jpg,不能再陷進去了...她是個即將要成為我的小姨子的女人。,已完结,最終話,其他,"小姨子,剧情,浪漫,危险女人,乱伦,多人,巨乳",9.81
60,13345,湿家侦探,疾風,/bookimages/1187/59acceb5-36b9-43d1-958c-17e185d6ea2a.jpg,擁有神秘超能力的男子-江鐵中，在追求人生極度快感的同時 莫名其妙地被捲入一起綁架女大生殺人案件...,已完结,第1季 最終話,其他,"动作,超能力,绑架,快感,巨乳,性感",9.78
61,13324,开发性味蕾,洪班长,/bookimages/1327/376cec32-9901-4201-8f08-6d66614565a1.jpg,經男人的手輕輕碰觸後就會全身僵硬的智琇，與以玩味女性身體為樂的星振，這兩個南轅北轍的男女究竟會擦出什麼樣的火花呢?,已完结,最終話,其他,"戏剧,浪漫,僵硬,敏感,大尺度,女学生",9.65
62,13523,性癖好,主寧 &amp;洗髮精,/bookimages/926/b8d14fed-a132-4af5-b5dd-4e3ed047c5b8.jpg,「平淡的行為索然無味，就是要濕杯秀的才令人興奮啊」 一群夢想著出軌並在網路上裸露自己的女人 有個準備狩獵她們的男人正在暗處伺機而動,已完结,最終話,其他,"野外,大尺度,SM,有夫之婦,出轨,偷情,调教",9.75
63,13317,初恋物語,TAIRA,/Public/Uploads/img/20191029/5db7fadab7030.jpg,曾帶給我強烈初體驗的女人，如果再次遇到她的話，我絕對不會放手的！,已完结,最終話 - 愛愛愛不完,其他,"戲劇,浪漫,初體驗,正妹,初戀,大尺度,性爱",9.79
64,13483,那里的香气,Akchu &amp;amp; Semny,/bookimages/925/414193bf-47ad-474f-bed5-bd36ebe12729.jpg,那個男人所散發出的甜蜜香氣 令我在不知不覺間就心醉神迷!,已完结,後記,其他,"戲劇,超能力,味道,大尺度,後宮,背叛,野外露出",9.8
65,13325,死亡天使,色色思想,/bookimages/1334/30f1b2b8-de01-47ee-bf8c-54f3d8d97349.JPG,"只要和她發生關係,就會死亡? 這死神般的女子,身上究竟藏著什麼樣的謎團...?",已完结,第1季 最終話,其他,"死神,谜团,大尺度,性爱,神秘,性感",9.8
66,13318,淫荡的妻子们,模造 &amp; 洋蔥,/Public/Uploads/img/20191029/5db8114c9af35.jpg,1個丈夫...3個妻子...坐享齊人之福的這男人真面目到底是....?!,已完结,最終話,其他,"戲劇 #繁體 #簡體,淫荡,已婚妇女",9.45
67,13262,索多玛俱乐部,何艺媛&amp;amp;库耐尼,/bookimages/1354/7f5292d4-e050-459e-8853-260047f74014.jpg,冒失的女記者，聰明美麗的女議員及其助理，三人間因SM而起的愛恨糾葛，痛與愉悅的極致快感！,已完结,最終話,其他,"女记者,索多玛俱乐部,SM,性虐待,极致快感",9.88
68,13267,夏美我的爱,TAIRA,/bookimages/1396/1acd759d-9a23-4be4-801a-0064bee28106.jpg,即使知道我的過去也會愛我嗎?日本刻薄女和韓國花花公子的心理拔河!,已完结,最終話,其他,"日本,花花公子,性爱,性感,巨乳,大尺度,浪漫",9.76
69,13259,神的礼物,洋葱&amp;远德,/bookimages/1333/f36334ad-54c6-4914-9af9-080590bd2afa.jpg,在人生的盡頭...再給你一次機會的話...你會做出什麼選擇呢?,已完结,最終話,其他,"返老回童,时间,逆袭,大尺度,正妹,性感",9.78
70,13258,人妻性解放,Camp M &amp; Wood Story,/bookimages/563/29632920-5ef7-4e60-aa1b-7eb6093abb69.jpg,不論多麼堅可不摧的事物 若從一個微小的細縫開始擊破 很快的 將會分崩離析,已完结,第2季 最終話,其他,"人妻,性解放,都市,恋爱,堕落,多人,偷情,出轨",9.85
71,13256,关系,ComicSon,/bookimages/1319/30722e34-132b-49fe-814a-1337719324af.jpg,他與她，還有她的朋友和她的妹妹都發生過關係...這男人到底是誰啊?,已完结,最終話,其他,"戏剧,发生关系,朋友,偷情,多人,妹妹,巨乳",9.76
72,13255,交往的条件,吟咏&amp;唠叨鸡,/bookimages/1312/60829e18-4f2f-4e22-b3dd-3b0ccad7f183.jpg,女友的新郎不是我，職場又失志，我的人生變得一蹋糊塗。 但至此之後我的桃花旺得不得了，怎麼每個女人都搶著跟我做?,已完结,最終話,其他,"正妹,巨乳,桃花运,女友,大尺度,性感",9.75
73,13253,腥红之壁,白皓安,/bookimages/1305/0aed7b1d-31b3-458b-835e-3761351bfcf0.jpg,畫家馬行健一再夢到自己在牆壁上畫的裸體畫作活起來了，在畫像會動的惡夢不停侵擾著他時，家中來了一位訪客，究竟她和畫作有什麼關聯呢?,已完结,第1季 最終話,其他,"裸体,大尺度,杀手,性感,阴谋",9.75
74,13250,青春:逆齡小鮮肉,HB;;独白,/bookimages/1284/d0bc80c9-a760-4e94-b091-3b6bba11f764.jpg,某天一覺醒來，東秀突然附身在高挑俊帥、精力旺盛的20歲年輕小伙子身上!天啊?這小子身邊到底有多少女人?!,已完结,最終話,其他,"巨乳,超能力,正妹,女大学生,附体,灵魂附体",9.85
75,13249,代理孕母,TB Production,/bookimages/1249/5d9266f5-d2d2-44a4-aac7-139115fc7026.png,她為了得到孩子，允許老公和另一個女人做愛，卻沒想到，老公漸漸成了對方的男人...,已完结,最終話 - 倖存的孩子,其他,"代孕,大尺度,有妇之夫,债务,不伦,老公孩子",9.75
76,13248,奇怪的超商,CLITO &amp; Elise God,/bookimages/1466/0c719edb-517b-4dc0-853b-6d64b84d5152.jpg,喚醒被分配到全國超商的人形機器人的性感帶吧!這就是正統的「科幻搞笑情色漫畫」,已完结,後記,其他,"超市,性感,机器人,巨乳,多人,乱交",9.79
77,13247,他的女人,SG-Comics,/bookimages/1207/fe231826-0f4e-48ad-94c0-8fcd6b9d38c1.jpg,無可奈何的情況下 拜倒於各個石榴裙下的男子 體驗偷情的快感,已完结,最終話,其他,,9.8
78,13245,朋友妻,哈士奇小子 &amp; 林型,/Public/Uploads/img/20191104/5dbf405b3b886.jpg,久違的高中聚會，晨雨主動的肌膚接觸讓我覺得今晚好像有望…不過，怎麼跟我一起去摩鐵的人會是秀瓊啊?!,已完结,最終話-以愛之名,其他,"肉欲,有妇之夫,朋友老婆,好友,有夫之妇,同学,多人",9.85
79,13244,噓！姐姐的诱惑,FACON,/bookimages/1410/f268176b-c620-4f74-ad02-f4da2beba36c.jpg,賢修到鄉下找奶奶時，見到了兒時玩伴─軒毓堂姊，但她好像沒意識到他們已經是大人，還跟他一起洗澡，各種大剌剌的舉動對他而言無非是一種挑逗...。,已完结,最終話-填滿我的男人,其他,"堂姐,剧情,性感,挑逗,巨乳,大尺度,乱伦",9.84
80,13243,新生淫乱日记,犬子 &amp;  皮带,/bookimages/1235/695_1525942532.4996.jpg,「我是來上學，不是來打砲的啊！」助教和學妹無止盡的誘惑…他抵擋得住嗎？,已完结,最終話-物是人非,其他,"戏剧,校园,办公室,大尺度,正妹,女大学生",9.8
81,13246,"姐夫,硬起來",純情小姨子&amp;賢琳,/bookimages/1459/ea38261c-28f1-446c-9549-c39f18daef54.jpg,功成名就的正勳突然不舉了，還因此跟心愛的老婆離婚。當他意志消沉時，在小姨子的幫助下，再次對人生有了希望......,已完结,最終話_為姊妹們準備的房間,其他,"肉欲,离婚,姐妹,小姨子,不伦,巨乳,调情",9.86
